"Iqtisodiy faoliyatning asosiy turlari bo‘yicha ko‘rsatilgan xizmatlar hajmi / Объем оказанных услуг по основным видам экономической деятельности  /  Volume of services by main type of economic activity *)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(mlrd.so‘m hisobida) / (в млрд.сумах) / (in bln. soums)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*) Alohida faoliyat turlarini hisoblash uslubiyatining o‘zgarishi sababli 2010 yildan ma’lumotlar aniqlashtirildi /  С 2010 г. данные уточнены в связи с изменением методологии расчета отдельных видов деятельности /  Since 2010, the data has been updated due to changes in the methodology for calculating certain types of activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ko‘rsatkichlar,Кўрсаткичлар,Показатели,Indicators,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,
"Xizmatlar – jami","Хизматлар – жами","Услуги - всего","Services - total",27126.8,35196.3,44386,55872.8,68032.1,78530.4,97050,118811,150889.8,193697.8,219978.5,284165.4,,,,,,,,,,,,,,,,,,
"axborot va aloqa sohasidagi xizmatlari ","ахборот ва алоқа соҳасидаги хизматлари ","услуги связи и информатизации","information and communication",2080.2,2653,3219.3,3749.8,4541.3,5181.5,6306.8,8196.7,10332.6,10891.7,13852.3,17755.1,,,,,,,,,,,,,,,,,,
"moliya xizmatlari","молия хизматлари","финансовые услуги","financial activities",2643.7,3346.6,4208.8,5546.5,6728.2,8206.7,9898.4,15023.8,21296.3,34036.6,45783,59733.3,,,,,,,,,,,,,,,,,,
"transport xizmatlari","транспорт хизматлари","транспортные услуги","transport activities",10524.4,13571.7,16498.8,20562,23781,26817.3,30617.8,36217.2,44159.4,54473.5,53662.9,67238.6,,,,,,,,,,,,,,,,,,
"      shu jumladan: avtotrasport xizmati","      шу жумладан: автотраспорт хизмати","      в том числе: услуги автотранспорта","      of which: motor transport",5124,6462.4,8054.4,10313.9,12954.7,16032.1,19216.7,20232.9,21786.8,25527.5,28474.1,36249.3,,,,,,,,,,,,,,,,,,
"yashash va ovqatlanish bo‘yicha xizmatlar","яшаш ва овқатланиш бўйича хизматлар","услуги проживания и питания","accommodation and food service activities",292.7,381.2,463.4,590.1,729.1,890.6,3038.7,3649.6,4673.3,5933.6,5431.7,8375.4,,,,,,,,,,,,,,,,,,
"savdo xizmatlari","савдо хизматлари","услуги торговли",trade,6620.8,8789.9,11533.6,14807.9,18979.2,21366.9,27368.2,32006.9,39743.4,48748.2,57572.7,72483.3,,,,,,,,,,,,,,,,,,
"ko‘chmas mulk bilan bog‘liq xizmatlar ","кўчмас мулк билан боғлиқ хизматлар ","услуги, связанные с недвижимым имуществом","real estate activities",809.3,1063.8,1408.6,1755.3,2236,2757.3,3405.1,4026.5,4949.2,5950.7,6016.9,8081.1,,,,,,,,,,,,,,,,,,
" ta’lim sohasidagi xizmatlar"," таълим соҳасидаги хизматлар","услуги в сфере образования",education,763.1,1027.4,1385.3,1793,2154.4,2681.4,3263,4402,5416.5,7164.9,8539.4,12021.8,,,,,,,,,,,,,,,,,,
"sog‘liqni saqlash sohasidagi xizmatlar","соғлиқни сақлаш соҳасидаги хизматлар","услуги в сфере здравоохранения","human health activities",258,354.4,498.8,671.9,869.9,1100.4,1416.3,1701.5,2220,3104.3,3386.7,5105.9,,,,,,,,,,,,,,,,,,
"ijara va lizing bo‘yicha xizmatlar","ижара ва лизинг бўйича хизматлар","услуги аренды и проката","renting and leasing",548,694.4,902.7,1177.2,1494.6,1801.6,2270.1,2589.2,3297.4,3733.5,4149,5351,,,,,,,,,,,,,,,,,,
"kompyuterlar, shaxsiy foydalanish buyumlari va maishiy tovarlarni ta’mirlash bo‘yicha xizmatlar","компютерлар, шахсий фойдаланиш буюмлари ва маиший товарларни таъмирлаш бўйича хизматлар","услуги по ремонту компьютеров и бытовых товаров","repair of computers and household goods",624.2,762.9,944.1,1122.8,1388.3,1724.5,2187.8,2329.2,2630.7,3200.1,3347.8,4680.5,,,,,,,,,,,,,,,,,,
"shaxsiy xizmatlar ","шахсий хизматлар ","индивидуальные услуги","personal ",756.5,963.9,1233.6,1558,2036.4,2366.5,2915.5,3134.4,3700.6,4575.6,5032.2,6764.1,,,,,,,,,,,,,,,,,,
"me’morchilik, muhandislik izlanishlari, texnik sinovlar va tahlil sohasidagi xizmatlar  ","меъморчилик, муҳандислик изланишлари, техник синовлар ва таҳлил соҳасидаги хизматлар  ","услуги в области архитектуры, инженерных изысканий, технических испытаний и анализа","architectural and engineering activities, technical testing and analysis",299.2,383.1,537.2,661.1,748.7,841,1132.6,1611.7,2953.6,4543.1,4907.5,6306.8,,,,,,,,,,,,,,,,,,
"boshqa xizmatlar","бошқа хизматлар","прочие услуги","other services",906.7,1204,1551.8,1877.2,2345,2794.7,3229.7,3922.3,5516.8,7342,8296.4,10268.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
